worker_age,employment_attrition_flag,travel_frequency,compensation_daily_rate,org_department,worker_commute_distance,education_level_code,education_field,worker_id,survey_environment_satisfaction,worker_gender,compensation_hourly_rate,survey_job_involvement,org_job_level,org_job_role,survey_job_satisfaction,worker_marital_status,compensation_monthly_salary,compensation_monthly_rate,career_companies_worked_count,work_overtime_flag,compensation_salary_hike_pct,performance_rating_code,survey_relationship_satisfaction,compensation_stock_option_level,career_total_years,training_sessions_last_year,survey_work_life_balance,tenure_total_years,tenure_current_role_years,tenure_years_since_promotion,tenure_years_with_manager,worker_status
49,0,RARE,1261,Research & Development,7,3,Other,499,2,M,31,2,3,Healthcare Representative,3,Single,10965,12066,8,0,24,4,3,0,26,2,3,5,2,0,0,Active
51,0,RARE,1178,Sales,14,2,Life Sciences,500,3,F,87,3,2,Sales Executive,4,Married,4936,14862,4,0,11,3,3,1,18,2,2,7,7,0,7,Active
36,0,RARE,329,Research & Development,2,3,Life Sciences,501,4,F,96,3,1,Research Scientist,3,Married,2543,11868,4,0,13,3,2,1,6,3,3,2,2,2,2,Active
34,1,NONE,1362,Sales,19,3,Marketing,502,1,M,67,4,2,Sales Executive,4,Single,5304,4652,8,1,13,3,2,0,9,3,2,5,2,0,4,Terminated
55,0,RARE,1311,Research & Development,2,3,Life Sciences,505,3,F,97,3,4,Manager,4,Single,16659,23258,2,1,13,3,3,0,30,2,3,5,4,1,2,Active
24,0,RARE,1371,Sales,10,4,Marketing,507,4,F,77,3,2,Sales Executive,3,Divorced,4260,5915,1,1,12,3,4,1,5,2,4,5,2,0,3,Active
30,0,RARE,202,Sales,2,1,Technical Degree,508,3,M,72,3,1,Sales Representative,2,Married,2476,17434,1,0,18,3,1,1,1,3,3,1,0,0,0,Active
26,1,FREQ,575,Research & Development,3,1,Technical Degree,510,3,M,73,3,1,Research Scientist,1,Single,3102,6582,0,0,22,4,3,0,7,2,3,6,4,0,4,Terminated
22,0,RARE,253,Research & Development,11,3,Medical,511,1,F,43,3,1,Research Scientist,2,Married,2244,24440,1,0,13,3,4,1,2,1,3,2,1,1,2,Active
36,0,RARE,164,Sales,2,2,Medical,513,2,M,61,2,3,Sales Executive,3,Married,7596,3809,1,0,13,3,2,2,10,2,3,10,9,9,0,Active
30,1,FREQ,464,Research & Development,4,3,Technical Degree,514,3,M,40,3,1,Research Scientist,4,Single,2285,3427,9,1,23,4,3,0,3,4,3,1,0,0,0,Terminated
37,0,RARE,1107,Research & Development,14,3,Life Sciences,515,4,F,95,3,1,Laboratory Technician,1,Divorced,3034,26914,1,0,12,3,3,1,18,2,2,18,7,12,17,Active
40,0,RARE,759,Sales,2,2,Marketing,516,4,F,46,3,2,Sales Executive,2,Divorced,5715,22553,7,0,12,3,3,2,8,5,3,5,4,1,3,Active
42,0,RARE,201,Research & Development,1,4,Life Sciences,517,2,F,95,3,1,Laboratory Technician,1,Divorced,2576,20490,3,0,16,3,2,1,8,5,3,5,2,1,2,Active
37,0,RARE,1305,Research & Development,10,4,Life Sciences,518,3,M,49,3,2,Manufacturing Director,2,Single,4197,21123,2,1,12,3,4,0,18,2,2,1,0,0,1,Active
43,0,RARE,982,Research & Development,12,3,Life Sciences,520,1,M,59,2,4,Research Director,2,Divorced,14336,4345,1,0,11,3,3,1,25,3,3,25,10,3,9,Active
40,0,RARE,555,Research & Development,2,3,Medical,521,2,F,78,2,2,Laboratory Technician,3,Married,3448,13436,6,0,22,4,2,1,20,3,3,1,0,0,0,Active
54,0,RARE,821,Research & Development,5,2,Medical,522,1,M,86,3,5,Research Director,1,Married,19406,8509,4,0,11,3,3,1,24,4,2,4,2,1,2,Active
34,0,NONE,1381,Sales,4,4,Marketing,523,3,F,72,3,2,Sales Executive,3,Married,6538,12740,9,0,15,3,1,1,6,3,3,3,2,1,2,Active
31,0,RARE,480,Research & Development,7,2,Medical,524,2,F,31,3,2,Manufacturing Director,1,Married,4306,4156,1,0,12,3,2,1,13,5,1,13,10,3,12,Active
43,0,FREQ,313,Research & Development,21,3,Medical,525,4,M,61,3,1,Laboratory Technician,4,Married,2258,15238,7,0,20,4,1,1,8,1,3,3,2,1,2,Active
43,0,RARE,1473,Research & Development,8,4,Other,526,3,F,74,3,2,Healthcare Representative,3,Divorced,4522,2227,4,1,14,3,4,0,8,3,3,5,2,0,2,Active
25,0,RARE,891,Sales,4,2,Life Sciences,527,2,F,99,2,2,Sales Executive,4,Single,4487,12090,1,1,11,3,2,0,5,3,3,5,4,1,3,Active
37,0,NONE,1063,Research & Development,25,5,Medical,529,2,F,72,3,2,Research Scientist,3,Married,4449,23866,3,1,15,3,1,2,15,2,3,13,11,10,7,Active
31,0,RARE,329,Research & Development,1,2,Life Sciences,530,4,M,98,2,1,Laboratory Technician,1,Married,2218,16193,1,0,12,3,3,1,4,3,3,4,2,3,2,Active
39,0,FREQ,1218,Research & Development,1,1,Life Sciences,531,2,M,52,3,5,Manager,3,Divorced,19197,8213,1,1,14,3,3,1,21,3,3,21,8,1,6,Active
56,0,FREQ,906,Sales,6,3,Life Sciences,532,3,F,86,4,4,Sales Executive,1,Married,13212,18256,9,0,11,3,4,3,36,0,2,7,7,7,7,Active
30,0,RARE,1082,Sales,12,3,Technical Degree,533,2,F,83,3,2,Sales Executive,3,Single,6577,19558,0,0,11,3,2,0,6,6,3,5,4,4,4,Active
41,0,RARE,645,Sales,1,3,Marketing,534,2,M,49,4,3,Sales Executive,1,Married,8392,19566,1,0,16,3,3,1,10,2,3,10,7,0,7,Active
28,0,RARE,1300,Research & Development,17,2,Medical,536,3,M,79,3,2,Laboratory Technician,1,Divorced,4558,13535,1,0,12,3,4,1,10,2,3,10,0,1,8,Active
25,1,RARE,688,Research & Development,3,3,Medical,538,1,M,91,3,1,Laboratory Technician,1,Married,4031,9396,5,0,13,3,3,1,6,5,3,2,2,0,2,Terminated
52,0,RARE,319,Research & Development,3,3,Medical,543,4,M,39,2,3,Manufacturing Director,3,Married,7969,19609,2,1,14,3,3,0,28,4,3,5,4,0,4,Active
45,0,RARE,192,Research & Development,10,2,Life Sciences,544,1,M,69,3,1,Research Scientist,4,Married,2654,9655,3,0,21,4,4,2,8,3,2,2,2,0,2,Active
52,0,RARE,1490,Research & Development,4,2,Life Sciences,546,4,F,30,3,4,Manager,4,Married,16555,10310,2,0,13,3,4,0,31,2,1,5,2,1,4,Active
42,0,FREQ,532,Research & Development,29,2,Life Sciences,547,1,F,92,3,2,Research Scientist,3,Divorced,4556,12932,2,0,11,3,2,1,19,3,3,5,4,0,2,Active
30,0,RARE,317,Research & Development,2,3,Life Sciences,548,3,F,43,1,2,Manufacturing Director,4,Single,6091,24793,2,0,20,4,3,0,11,2,3,5,4,0,2,Active
60,0,RARE,422,Research & Development,7,3,Life Sciences,549,1,F,41,3,5,Manager,1,Married,19566,3854,5,0,11,3,4,0,33,5,1,29,8,11,10,Active
46,0,RARE,1485,Research & Development,18,3,Medical,550,3,F,87,3,2,Manufacturing Director,3,Divorced,4810,26314,2,0,14,3,3,1,19,5,2,10,7,0,8,Active
42,0,FREQ,1368,Research & Development,28,4,Technical Degree,551,4,F,88,2,2,Healthcare Representative,4,Married,4523,4386,0,0,11,3,4,3,7,4,4,6,5,0,4,Active
24,1,RARE,1448,Sales,1,1,Technical Degree,554,1,F,62,3,1,Sales Representative,2,Single,3202,21972,1,1,16,3,2,0,6,4,3,5,3,1,4,Terminated
34,1,FREQ,296,Sales,6,2,Marketing,555,4,F,33,1,1,Sales Representative,3,Divorced,2351,12253,0,0,16,3,4,1,3,3,2,2,2,1,0,Terminated
38,0,FREQ,1490,Research & Development,2,2,Life Sciences,556,4,M,42,3,1,Laboratory Technician,4,Married,1702,12106,1,1,23,4,3,1,1,3,3,1,0,0,0,Active
40,0,RARE,1398,Sales,2,4,Life Sciences,558,3,F,79,3,5,Manager,3,Married,18041,13022,0,0,14,3,4,0,21,2,3,20,15,1,12,Active
26,0,RARE,1349,Research & Development,23,3,Life Sciences,560,1,F,90,3,1,Research Scientist,4,Divorced,2886,3032,1,0,22,4,2,2,3,3,1,3,2,0,2,Active
30,0,NONE,1400,Research & Development,3,3,Life Sciences,562,3,M,53,3,1,Laboratory Technician,4,Married,2097,16734,4,0,15,3,3,1,9,3,1,5,3,1,4,Active
29,0,RARE,986,Research & Development,3,4,Medical,564,2,M,93,2,3,Research Director,3,Married,11935,21526,1,0,18,3,3,0,10,2,3,10,2,0,7,Active
29,1,RARE,408,Research & Development,25,5,Technical Degree,565,3,F,71,2,1,Research Scientist,2,Married,2546,18300,5,0,16,3,2,0,6,2,4,2,2,1,1,Terminated
19,1,RARE,489,Human Resources,2,2,Technical Degree,566,1,M,52,2,1,Human Resources,4,Single,2564,18437,1,0,12,3,3,0,1,3,4,1,0,0,0,Terminated
30,0,NONE,1398,Sales,22,4,Other,567,3,F,69,3,3,Sales Executive,1,Married,8412,2890,0,0,11,3,3,0,10,3,3,9,8,7,8,Active
57,0,RARE,210,Sales,29,3,Marketing,568,1,M,56,2,4,Manager,4,Divorced,14118,22102,3,0,12,3,3,1,32,3,2,1,0,0,0,Active
50,0,RARE,1099,Research & Development,29,4,Life Sciences,569,2,M,88,2,4,Manager,3,Married,17046,9314,0,0,15,3,2,1,28,2,3,27,10,15,7,Active
30,0,NONE,1116,Research & Development,2,3,Medical,571,3,F,49,3,1,Laboratory Technician,4,Single,2564,7181,0,0,14,3,3,0,12,2,2,11,7,6,7,Active
60,0,FREQ,1499,Sales,28,3,Marketing,573,3,F,80,2,3,Sales Executive,1,Married,10266,2845,4,0,19,3,4,0,22,5,4,18,13,13,11,Active
47,0,RARE,983,Research & Development,2,2,Medical,574,1,F,65,3,2,Manufacturing Director,4,Divorced,5070,7389,5,0,13,3,3,3,20,2,3,5,0,0,4,Active
46,0,RARE,1009,Research & Development,2,3,Life Sciences,575,1,M,51,3,4,Research Director,3,Married,17861,2288,6,0,13,3,3,0,26,2,1,3,2,0,1,Active
35,0,RARE,144,Research & Development,22,3,Life Sciences,577,4,M,46,1,1,Laboratory Technician,3,Single,4230,19225,0,0,15,3,3,0,6,2,3,5,4,4,3,Active
54,0,RARE,548,Research & Development,8,4,Life Sciences,578,3,F,42,3,2,Laboratory Technician,3,Single,3780,23428,7,0,11,3,3,0,19,3,3,1,0,0,0,Active
34,0,RARE,1303,Research & Development,2,4,Life Sciences,579,4,M,62,2,1,Research Scientist,3,Divorced,2768,8416,3,0,12,3,3,1,14,3,3,7,3,5,7,Active
46,0,RARE,1125,Sales,10,3,Marketing,580,3,F,94,2,3,Sales Executive,4,Married,9071,11563,2,1,19,3,3,1,15,3,3,3,2,1,2,Active
31,0,RARE,1274,Research & Development,9,1,Life Sciences,581,3,M,33,3,3,Manufacturing Director,2,Divorced,10648,14394,1,0,25,4,4,1,13,6,4,13,8,0,8,Active
33,1,RARE,1277,Research & Development,15,1,Medical,582,2,M,56,3,3,Manager,3,Married,13610,24619,7,1,12,3,4,0,15,2,4,7,6,7,7,Terminated
33,1,RARE,587,Research & Development,10,1,Medical,584,1,M,38,1,1,Laboratory Technician,4,Divorced,3408,6705,7,0,13,3,1,3,8,2,3,4,3,1,3,Terminated
30,0,RARE,413,Sales,7,1,Marketing,585,4,M,57,3,1,Sales Representative,2,Single,2983,18398,0,0,14,3,1,0,4,3,3,3,2,1,2,Active
35,0,RARE,1276,Research & Development,16,3,Life Sciences,586,4,M,72,3,3,Healthcare Representative,3,Married,7632,14295,4,1,12,3,3,0,10,2,3,8,7,0,0,Active
31,1,FREQ,534,Research & Development,20,3,Life Sciences,587,1,M,66,3,3,Healthcare Representative,3,Married,9824,22908,3,0,12,3,1,0,12,2,3,1,0,0,0,Terminated
34,1,FREQ,988,Human Resources,23,3,Human Resources,590,2,F,43,3,3,Human Resources,1,Divorced,9950,11533,9,1,15,3,3,3,11,2,3,3,2,0,2,Terminated
42,0,FREQ,1474,Research & Development,5,2,Other,591,2,M,97,3,1,Laboratory Technician,3,Married,2093,9260,4,0,17,3,4,1,8,4,3,2,2,2,0,Active
36,0,NONE,635,Sales,10,4,Medical,592,2,M,32,3,3,Sales Executive,4,Single,9980,15318,1,0,14,3,4,0,10,3,2,10,3,9,7,Active
22,1,FREQ,1368,Research & Development,4,1,Technical Degree,593,3,M,99,2,1,Laboratory Technician,3,Single,3894,9129,5,0,16,3,3,0,4,3,3,2,2,1,2,Terminated
48,0,RARE,163,Sales,2,5,Marketing,595,2,F,37,3,2,Sales Executive,4,Married,4051,19658,2,0,14,3,1,1,14,2,3,9,7,6,7,Active
55,0,RARE,1117,Sales,18,5,Life Sciences,597,1,F,83,3,4,Manager,2,Single,16835,9873,3,0,23,4,4,0,37,2,3,10,9,7,7,Active
41,0,NONE,267,Sales,10,2,Life Sciences,599,4,M,56,3,2,Sales Executive,4,Single,6230,13430,7,0,14,3,4,0,16,3,3,14,3,1,10,Active
35,0,RARE,619,Sales,1,3,Marketing,600,2,M,85,3,2,Sales Executive,3,Married,4717,18659,9,0,11,3,3,0,15,2,3,11,9,6,9,Active
40,0,RARE,302,Research & Development,6,3,Life Sciences,601,2,F,75,3,4,Manufacturing Director,3,Single,13237,20364,7,0,15,3,3,0,22,3,3,20,6,5,13,Active
39,0,FREQ,443,Research & Development,8,1,Life Sciences,602,3,F,48,3,1,Laboratory Technician,3,Married,3755,17872,1,0,11,3,1,1,8,3,3,8,3,0,7,Active
31,0,RARE,828,Sales,2,1,Life Sciences,604,2,M,77,3,2,Sales Executive,4,Single,6582,8346,4,1,13,3,3,0,10,2,4,6,5,0,5,Active
42,0,RARE,319,Research & Development,24,3,Medical,605,4,M,56,3,3,Manufacturing Director,1,Married,7406,6950,1,1,21,4,4,1,10,5,2,10,9,5,8,Active
45,0,RARE,561,Sales,2,3,Other,606,4,M,61,3,2,Sales Executive,2,Married,4805,16177,0,0,19,3,2,1,9,3,4,8,7,3,7,Active
26,1,FREQ,426,Human Resources,17,4,Life Sciences,608,2,F,58,3,1,Human Resources,3,Divorced,2741,22808,0,1,11,3,2,1,8,2,2,7,7,1,0,Terminated
29,0,RARE,232,Research & Development,19,3,Technical Degree,611,4,M,34,3,2,Manufacturing Director,4,Divorced,4262,22645,4,0,12,3,2,2,8,2,4,3,2,1,2,Active
33,0,RARE,922,Research & Development,1,5,Medical,612,1,F,95,4,4,Research Director,3,Divorced,16184,22578,4,0,19,3,3,1,10,2,3,6,1,0,5,Active
31,0,RARE,688,Sales,7,3,Life Sciences,613,3,M,44,2,3,Manager,4,Divorced,11557,25291,9,0,21,4,3,1,10,3,2,5,4,0,1,Active
18,1,FREQ,1306,Sales,5,3,Marketing,614,2,M,69,3,1,Sales Representative,2,Single,1878,8059,1,1,14,3,4,0,0,3,3,0,0,0,0,Terminated
40,0,NONE,1094,Sales,28,3,Other,615,3,M,58,1,3,Sales Executive,1,Divorced,10932,11373,3,0,15,3,3,1,20,2,3,1,0,0,1,Active
41,0,NONE,509,Research & Development,2,4,Other,616,1,F,62,2,2,Healthcare Representative,3,Single,6811,2112,2,1,17,3,1,0,10,3,3,8,7,0,7,Active
26,0,RARE,775,Sales,29,2,Medical,618,1,M,45,3,2,Sales Executive,3,Divorced,4306,4267,5,0,12,3,1,2,8,5,3,0,0,0,0,Active
35,0,RARE,195,Sales,1,3,Medical,620,1,F,80,3,2,Sales Executive,3,Single,4859,6698,1,0,16,3,4,0,5,3,3,5,4,0,3,Active
34,0,RARE,258,Sales,21,4,Life Sciences,621,4,M,74,4,2,Sales Executive,4,Single,5337,19921,1,0,12,3,4,0,10,3,3,10,7,5,7,Active
26,1,RARE,471,Research & Development,24,3,Technical Degree,622,3,M,66,1,1,Laboratory Technician,4,Single,2340,23213,1,1,18,3,2,0,1,3,1,1,0,0,0,Terminated
37,0,RARE,799,Research & Development,1,3,Technical Degree,623,2,F,59,3,3,Manufacturing Director,4,Single,7491,23848,4,0,17,3,4,0,12,3,4,6,5,1,2,Active
46,0,FREQ,1034,Research & Development,18,1,Medical,624,1,F,86,3,3,Healthcare Representative,3,Married,10527,8984,5,0,11,3,4,0,28,3,2,2,2,1,2,Active
41,0,RARE,1276,Sales,2,5,Life Sciences,625,2,F,91,3,4,Manager,1,Married,16595,5626,7,0,16,3,2,1,22,2,3,18,16,11,8,Active
37,0,NONE,142,Sales,9,4,Medical,626,1,M,69,3,3,Sales Executive,2,Divorced,8834,24666,1,0,13,3,4,1,9,6,3,9,5,7,7,Active
52,0,RARE,956,Research & Development,6,2,Technical Degree,630,4,M,78,3,2,Research Scientist,1,Divorced,5577,22087,3,1,12,3,2,2,18,3,3,10,9,6,9,Active
32,1,NONE,1474,Sales,11,4,Other,631,4,M,60,4,2,Sales Executive,3,Married,4707,23914,8,0,12,3,4,0,6,2,3,4,2,1,2,Terminated
24,0,FREQ,535,Sales,24,3,Medical,632,4,M,38,3,1,Sales Representative,4,Married,2400,5530,0,0,13,3,3,2,3,3,3,2,2,2,1,Active
38,0,RARE,1495,Research & Development,10,3,Medical,634,3,F,76,3,2,Healthcare Representative,3,Married,9824,22174,3,0,19,3,3,1,18,4,3,1,0,0,0,Active
37,0,RARE,446,Research & Development,1,4,Life Sciences,635,2,F,65,3,2,Manufacturing Director,2,Married,6447,15701,6,0,12,3,2,1,8,2,2,6,5,4,3,Active
49,0,RARE,1245,Research & Development,18,4,Life Sciences,638,4,M,58,2,5,Research Director,3,Divorced,19502,2125,1,1,17,3,3,1,31,5,3,31,9,0,9,Active
24,0,RARE,691,Research & Development,23,3,Medical,639,2,M,89,4,1,Research Scientist,4,Married,2725,21630,1,1,11,3,2,2,6,3,3,6,5,1,4,Active
26,0,RARE,703,Sales,28,2,Marketing,641,1,M,66,3,2,Sales Executive,2,Married,6272,7428,1,0,20,4,4,2,6,5,4,5,3,1,4,Active
24,0,RARE,823,Research & Development,17,2,Other,643,4,M,94,2,1,Laboratory Technician,2,Married,2127,9100,1,0,21,4,4,1,1,2,3,1,0,0,0,Active
50,0,FREQ,1246,Human Resources,3,3,Medical,644,1,M,99,3,5,Manager,2,Married,18200,7999,1,0,11,3,3,1,32,2,3,32,5,10,7,Active
25,0,RARE,622,Sales,13,1,Medical,645,2,M,40,3,1,Sales Representative,3,Married,2096,26376,1,0,11,3,3,0,7,1,3,7,4,0,6,Active
24,1,FREQ,1287,Research & Development,7,3,Life Sciences,647,1,F,55,3,1,Laboratory Technician,3,Married,2886,14168,1,1,16,3,4,1,6,4,3,6,3,1,2,Terminated
30,1,FREQ,448,Sales,12,4,Life Sciences,648,2,M,74,2,1,Sales Representative,1,Married,2033,14470,1,0,18,3,3,1,1,2,4,1,0,0,0,Terminated
34,0,RARE,254,Research & Development,1,2,Life Sciences,649,2,M,83,2,1,Research Scientist,4,Married,3622,22794,1,1,13,3,4,1,6,3,3,6,5,1,3,Active
31,1,RARE,1365,Sales,13,4,Medical,650,2,M,46,3,2,Sales Executive,1,Divorced,4233,11512,2,0,17,3,3,0,9,2,1,3,1,1,2,Terminated
35,0,RARE,538,Research & Development,25,2,Other,652,1,M,54,2,2,Laboratory Technician,4,Single,3681,14004,4,0,14,3,4,0,9,3,3,3,2,0,2,Active
31,0,RARE,525,Sales,6,4,Medical,653,1,M,66,4,2,Sales Executive,4,Divorced,5460,6219,4,0,22,4,4,2,13,4,4,7,7,5,7,Active
27,0,RARE,798,Research & Development,6,4,Medical,655,1,F,66,2,1,Research Scientist,3,Divorced,2187,5013,0,0,12,3,3,2,6,5,2,5,3,0,3,Active
37,0,RARE,558,Sales,2,3,Marketing,656,4,M,75,3,2,Sales Executive,3,Married,9602,3010,4,1,11,3,3,1,17,3,2,3,0,1,0,Active
20,0,RARE,959,Research & Development,1,3,Life Sciences,657,4,F,83,2,1,Research Scientist,2,Single,2836,11757,1,0,13,3,4,0,1,0,4,1,0,0,0,Active
42,0,RARE,622,Research & Development,2,4,Life Sciences,659,3,F,81,3,2,Healthcare Representative,4,Married,4089,5718,1,0,13,3,2,2,10,4,3,10,2,2,2,Active
43,0,RARE,782,Research & Development,6,4,Other,661,2,M,50,2,4,Research Director,4,Divorced,16627,2671,4,1,14,3,3,1,21,3,2,1,0,0,0,Active
38,0,RARE,362,Research & Development,1,1,Life Sciences,662,3,F,43,3,1,Research Scientist,1,Single,2619,14561,3,0,17,3,4,0,8,3,2,0,0,0,0,Active
43,0,FREQ,1001,Research & Development,9,5,Medical,663,4,M,72,3,2,Laboratory Technician,3,Divorced,5679,19627,3,1,13,3,2,1,10,3,3,8,7,4,7,Active
48,0,RARE,1236,Research & Development,1,4,Life Sciences,664,4,F,40,2,4,Manager,1,Married,15402,17997,7,0,11,3,1,1,21,3,1,3,2,0,2,Active
44,0,RARE,1112,Human Resources,1,4,Life Sciences,665,1,F,50,2,2,Human Resources,3,Single,5985,26894,4,0,11,3,2,0,10,1,4,2,2,0,2,Active
34,0,RARE,204,Sales,14,3,Technical Degree,666,3,F,31,3,1,Sales Representative,3,Divorced,2579,2912,1,1,18,3,4,2,8,3,3,8,2,0,6,Active
27,1,RARE,1420,Sales,2,1,Marketing,667,3,M,85,3,1,Sales Representative,1,Divorced,3041,16346,0,0,11,3,2,1,5,3,3,4,3,0,2,Terminated
21,0,RARE,1343,Sales,22,1,Technical Degree,669,3,M,49,3,1,Sales Representative,3,Single,3447,24444,1,0,11,3,3,0,3,2,3,3,2,1,2,Active
44,0,RARE,1315,Research & Development,3,4,Other,671,4,M,35,3,5,Manager,4,Married,19513,9358,4,1,12,3,1,1,26,2,4,2,2,0,1,Active
22,0,RARE,604,Research & Development,6,1,Medical,675,1,M,69,3,1,Research Scientist,3,Married,2773,12145,0,0,20,4,4,0,3,3,3,2,2,2,2,Active
33,0,RARE,1216,Sales,8,4,Marketing,677,3,M,39,3,2,Sales Executive,3,Divorced,7104,20431,0,0,12,3,4,0,6,3,3,5,0,1,2,Active
32,0,RARE,646,Research & Development,9,4,Life Sciences,679,1,F,92,3,2,Research Scientist,4,Married,6322,18089,1,1,12,3,4,1,6,2,2,6,4,0,5,Active
30,0,FREQ,160,Research & Development,3,3,Medical,680,3,F,71,3,1,Research Scientist,3,Divorced,2083,22653,1,0,20,4,3,1,1,2,3,1,0,0,0,Active
53,0,RARE,238,Sales,1,1,Medical,682,4,F,34,3,2,Sales Executive,1,Single,8381,7507,7,0,20,4,4,0,18,2,4,14,7,8,10,Active
34,0,RARE,1397,Research & Development,1,5,Life Sciences,683,2,M,42,3,1,Research Scientist,4,Married,2691,7660,1,0,12,3,4,1,10,4,2,10,9,8,8,Active
45,1,FREQ,306,Sales,26,4,Life Sciences,684,1,F,100,3,2,Sales Executive,1,Married,4286,5630,2,0,14,3,4,2,5,4,3,1,1,0,0,Terminated
26,0,RARE,991,Research & Development,6,3,Life Sciences,686,3,F,71,3,1,Laboratory Technician,4,Married,2659,17759,1,1,13,3,3,1,3,2,3,3,2,0,2,Active
37,0,RARE,482,Research & Development,3,3,Other,689,3,M,36,3,3,Manufacturing Director,3,Married,9434,9606,1,0,15,3,3,1,10,2,3,10,7,7,8,Active
29,0,RARE,1176,Sales,3,2,Medical,690,2,F,62,3,2,Sales Executive,3,Married,5561,3487,1,0,14,3,1,1,6,5,2,6,0,1,2,Active
35,0,RARE,1017,Research & Development,6,4,Life Sciences,691,2,M,82,1,2,Research Scientist,4,Single,6646,19368,1,0,13,3,2,0,17,3,3,17,11,11,8,Active
33,0,FREQ,1296,Research & Development,6,3,Life Sciences,692,3,M,30,3,2,Healthcare Representative,4,Divorced,7725,5335,3,0,23,4,3,1,15,2,1,13,11,4,7,Active
54,0,RARE,397,Human Resources,19,4,Medical,698,3,M,88,3,3,Human Resources,2,Married,10725,6729,2,0,15,3,3,1,16,1,4,9,7,7,1,Active
36,0,RARE,913,Research & Development,9,2,Medical,699,2,M,48,2,2,Manufacturing Director,2,Divorced,8847,13934,2,1,11,3,3,1,13,2,3,3,2,0,2,Active
27,0,RARE,1115,Research & Development,3,4,Medical,700,1,M,54,2,1,Research Scientist,4,Single,2045,15174,0,0,13,3,4,0,5,0,3,4,2,1,1,Active
20,1,RARE,1362,Research & Development,10,1,Medical,701,4,M,32,3,1,Research Scientist,3,Single,1009,26999,1,1,11,3,4,0,1,5,3,1,0,1,1,Terminated
33,1,FREQ,1076,Research & Development,3,3,Life Sciences,702,1,M,70,3,1,Research Scientist,1,Single,3348,3164,1,1,11,3,1,0,10,3,3,10,8,9,7,Terminated
35,0,NONE,727,Research & Development,3,3,Life Sciences,704,3,M,41,2,1,Laboratory Technician,3,Married,1281,16900,1,0,18,3,3,2,1,3,3,1,0,0,0,Active
23,0,RARE,885,Research & Development,4,3,Medical,705,1,M,58,4,1,Research Scientist,1,Married,2819,8544,2,0,16,3,1,1,5,3,4,3,2,0,2,Active
25,0,RARE,810,Sales,8,3,Life Sciences,707,4,M,57,4,2,Sales Executive,2,Married,4851,15678,0,0,22,4,3,1,4,4,3,3,2,1,2,Active
38,0,RARE,243,Sales,7,4,Marketing,709,4,F,46,2,2,Sales Executive,4,Single,4028,7791,0,0,20,4,1,0,8,2,3,7,7,0,5,Active
29,0,FREQ,806,Research & Development,1,4,Life Sciences,710,2,M,76,1,1,Research Scientist,4,Divorced,2720,18959,1,0,18,3,4,1,10,5,3,10,7,2,8,Active
48,0,RARE,817,Sales,2,1,Marketing,712,2,M,56,4,2,Sales Executive,2,Married,8120,18597,3,0,12,3,4,0,12,3,3,2,2,2,2,Active
27,0,FREQ,1410,Sales,3,1,Medical,714,4,F,71,4,2,Sales Executive,4,Divorced,4647,16673,1,1,20,4,2,2,6,3,3,6,5,0,4,Active
37,0,RARE,1225,Research & Development,10,2,Life Sciences,715,4,M,80,4,1,Research Scientist,4,Single,4680,15232,3,0,17,3,1,0,4,2,3,1,0,0,0,Active
50,0,RARE,1207,Research & Development,28,1,Medical,716,4,M,74,4,1,Laboratory Technician,3,Married,3221,3297,1,1,11,3,3,3,20,3,3,20,8,3,8,Active
34,0,RARE,1442,Research & Development,9,3,Medical,717,4,F,46,2,3,Healthcare Representative,2,Single,8621,17654,1,0,14,3,2,0,9,3,4,8,7,7,7,Active
24,1,RARE,693,Sales,3,2,Life Sciences,720,1,F,65,3,2,Sales Executive,3,Single,4577,24785,9,0,14,3,1,0,4,3,3,2,2,2,0,Terminated
39,0,RARE,408,Research & Development,2,4,Technical Degree,721,4,F,80,2,2,Healthcare Representative,3,Single,4553,20978,1,0,11,3,1,0,20,4,3,20,7,11,10,Active
32,0,RARE,929,Sales,10,3,Marketing,722,4,M,55,3,2,Sales Executive,4,Single,5396,21703,1,0,12,3,4,0,10,2,2,10,7,0,8,Active
50,1,FREQ,562,Sales,8,2,Technical Degree,723,2,M,50,3,2,Sales Executive,3,Married,6796,23452,3,1,14,3,1,1,18,4,3,4,3,1,3,Terminated
38,0,RARE,827,Research & Development,1,4,Life Sciences,724,2,F,33,4,2,Healthcare Representative,4,Single,7625,19383,0,0,13,3,3,0,10,4,2,9,7,1,8,Active
27,0,RARE,608,Research & Development,1,2,Life Sciences,725,3,F,68,3,3,Manufacturing Director,1,Married,7412,6009,1,0,11,3,4,0,9,3,3,9,7,0,7,Active
32,0,RARE,1018,Research & Development,3,2,Life Sciences,727,3,F,39,3,3,Research Director,4,Single,11159,19373,3,0,15,3,4,0,10,6,3,7,7,7,7,Active
47,0,RARE,703,Sales,14,4,Marketing,728,4,M,42,3,2,Sales Executive,1,Single,4960,11825,2,0,12,3,4,0,20,2,3,7,7,1,7,Active
40,0,FREQ,580,Sales,5,4,Life Sciences,729,4,M,48,2,3,Sales Executive,1,Married,10475,23772,5,1,21,4,3,1,20,2,3,18,13,1,12,Active
53,0,RARE,970,Research & Development,7,3,Life Sciences,730,3,M,59,4,4,Research Director,3,Married,14814,13514,3,0,19,3,3,0,32,3,3,5,1,1,3,Active
